Id,GRID_ID,ORIG_FID,NEAR_FID,NEAR_DIST,NEAR_FC
119599,XY-926,20857,69,17936.665385526586761,USAWaterBodies_Projected_4counties
119600,XZ-926,20858,69,18918.812715187763388,USAWaterBodies_Projected_4counties
119601,YA-926,20859,69,19902.738101888215169,USAWaterBodies_Projected_4counties
119602,YB-926,20860,69,20888.190284281583445,USAWaterBodies_Projected_4counties
119603,YC-926,20861,69,21874.962920022473554,USAWaterBodies_Projected_4counties
119604,YD-926,20862,75,22555.433160732460237,USAWaterBodies_Projected_4counties
119605,YE-926,20863,75,22499.732937710083206,USAWaterBodies_Projected_4counties
119606,YF-926,20864,75,22488.405889886515070,USAWaterBodies_Projected_4counties
119607,YG-926,20865,75,22521.518968939220940,USAWaterBodies_Projected_4counties
119608,YH-926,20866,72,22598.141382990539569,USAWaterBodies_Projected_4counties
119609,YI-926,20867,72,21608.250506823460455,USAWaterBodies_Projected_4counties
119610,YJ-926,20868,72,20619.335245483624021,USAWaterBodies_Projected_4counties
119611,YK-926,20869,72,19631.543035779177444,USAWaterBodies_Projected_4counties
119612,YL-926,20870,72,18645.052372295893292,USAWaterBodies_Projected_4counties
119613,YM-926,20871,72,17660.081369168816309,USAWaterBodies_Projected_4counties
119614,YN-926,20872,72,16676.899291105357406,USAWaterBodies_Projected_4counties
119615,YO-926,20873,72,15695.842314628327586,USAWaterBodies_Projected_4counties
119616,YP-926,20874,72,14717.335423427839487,USAWaterBodies_Projected_4counties
119617,YQ-926,20875,72,13741.923372137202023,USAWaterBodies_Projected_4counties
119618,YR-926,20876,72,12770.315343236341505,USAWaterBodies_Projected_4counties
119619,YS-926,20877,72,11803.450765166273413,USAWaterBodies_Projected_4counties
119620,YT-926,20878,72,10842.598672168543999,USAWaterBodies_Projected_4counties
119621,YU-926,20879,72,9889.511715232349161,USAWaterBodies_Projected_4counties
119622,YV-926,20880,72,8946.671893264257960,USAWaterBodies_Projected_4counties
119623,YW-926,20881,72,8017.695053176534202,USAWaterBodies_Projected_4counties
119624,YX-926,20882,72,7108.018708876494202,USAWaterBodies_Projected_4counties
119625,YY-926,20883,72,6226.108412623816548,USAWaterBodies_Projected_4counties
119626,YZ-926,20884,72,5385.621780792989739,USAWaterBodies_Projected_4counties
119627,ZA-926,20885,72,4609.275210459736627,USAWaterBodies_Projected_4counties
119628,ZB-926,20886,72,3935.214602250485314,USAWaterBodies_Projected_4counties
119629,ZC-926,20887,72,3424.384611250938633,USAWaterBodies_Projected_4counties
119630,ZD-926,20888,72,3157.040697517064928,USAWaterBodies_Projected_4counties
119631,ZE-926,20889,72,2942.681293616868516,USAWaterBodies_Projected_4counties
119632,ZF-926,20890,72,2796.098916984194148,USAWaterBodies_Projected_4counties
119633,ZG-926,20891,72,2718.648513057559285,USAWaterBodies_Projected_4counties
119634,ZH-926,20892,72,2936.203013681935772,USAWaterBodies_Projected_4counties
119635,ZI-926,20893,72,3442.604615339915199,USAWaterBodies_Projected_4counties
119636,ZJ-926,20894,72,4026.795271513010903,USAWaterBodies_Projected_4counties
119637,ZK-926,20895,72,4710.094296503505575,USAWaterBodies_Projected_4counties
119638,ZL-926,20896,72,5465.580489020465393,USAWaterBodies_Projected_4counties
119639,ZM-926,20897,72,6289.686151308944318,USAWaterBodies_Projected_4counties
119640,ZN-926,20898,72,7158.752243371315672,USAWaterBodies_Projected_4counties
119641,ZO-926,20899,72,8058.245186266062774,USAWaterBodies_Projected_4counties
119642,ZP-926,20900,72,8979.025408249299289,USAWaterBodies_Projected_4counties
119643,ZQ-926,20901,72,9915.164097582694012,USAWaterBodies_Projected_4counties
119644,ZR-926,20902,72,10862.691235692891496,USAWaterBodies_Projected_4counties
119645,ZS-926,20903,72,11818.868079558444151,USAWaterBodies_Projected_4counties
119646,ZT-926,20904,72,12781.753576173021429,USAWaterBodies_Projected_4counties
119647,ZU-926,20905,72,13749.938410117267267,USAWaterBodies_Projected_4counties
119648,ZV-926,20906,72,14722.377120629143974,USAWaterBodies_Projected_4counties
119649,ZW-926,20907,72,15698.279201301995272,USAWaterBodies_Projected_4counties
119650,ZX-926,20908,72,16677.036657693031884,USAWaterBodies_Projected_4counties
119651,ZY-926,20909,72,17658.174692817021423,USAWaterBodies_Projected_4counties
119652,ZZ-926,20910,72,18641.317423456148390,USAWaterBodies_Projected_4counties
119653,AAA-926,20911,72,19626.163585429938394,USAWaterBodies_Projected_4counties
119654,AAB-926,20912,72,20612.469014702299319,USAWaterBodies_Projected_4counties
119655,AAC-926,20913,72,21600.033812058460171,USAWaterBodies_Projected_4counties
119656,AAD-926,20914,72,22588.692801534023602,USAWaterBodies_Projected_4counties
119657,AAE-926,20915,72,23578.308342247149994,USAWaterBodies_Projected_4counties
119658,AAF-926,20916,72,24568.764846489288175,USAWaterBodies_Projected_4counties
119659,AAG-926,20917,72,25559.964551659577410,USAWaterBodies_Projected_4counties
119660,AAH-926,20918,72,26551.824225128118997,USAWaterBodies_Projected_4counties
119661,AAI-926,20919,72,27544.272571300676645,USAWaterBodies_Projected_4counties
119662,AAJ-926,20920,72,28537.248172907511616,USAWaterBodies_Projected_4counties
119663,AAK-926,20921,72,29530.697842789279093,USAWaterBodies_Projected_4counties
119664,AAL-926,20922,72,30524.575294049969671,USAWaterBodies_Projected_4counties
119665,AAM-926,20923,74,31173.810476148664748,USAWaterBodies_Projected_4counties
119666,AAN-926,20924,74,30380.167191818465653,USAWaterBodies_Projected_4counties
119667,AAO-926,20925,74,29599.031362577556138,USAWaterBodies_Projected_4counties
119668,AAP-926,20926,74,28831.419607831605390,USAWaterBodies_Projected_4counties
119669,AAQ-926,20927,74,28078.441117748392571,USAWaterBodies_Projected_4counties
119670,AAR-926,20928,74,27341.304917704102991,USAWaterBodies_Projected_4counties
119671,AAS-926,20929,74,26621.327044361958542,USAWaterBodies_Projected_4counties
119672,AAT-926,20930,74,25919.937357233029616,USAWaterBodies_Projected_4counties
119673,AAU-926,20931,74,25238.685615595979471,USAWaterBodies_Projected_4counties
119674,AAV-926,20932,74,24579.246339196371991,USAWaterBodies_Projected_4counties
119675,AAW-926,20933,74,23943.421844066171616,USAWaterBodies_Projected_4counties
119676,AAX-926,20934,74,23333.142707378963678,USAWaterBodies_Projected_4counties
119677,AAY-926,20935,74,22716.280834460565529,USAWaterBodies_Projected_4counties
119678,AAZ-926,20936,74,22067.996147137710068,USAWaterBodies_Projected_4counties
119679,ABA-926,20937,74,21446.759497651139100,USAWaterBodies_Projected_4counties
119680,ABB-926,20938,74,20854.988179092644714,USAWaterBodies_Projected_4counties
119681,ABC-926,20939,74,20295.259814796616411,USAWaterBodies_Projected_4counties
119682,ABD-926,20940,74,19770.296152311500919,USAWaterBodies_Projected_4counties
119683,ABE-926,20941,74,19282.936730438843369,USAWaterBodies_Projected_4counties
119684,ABF-926,20942,74,18836.100656720649567,USAWaterBodies_Projected_4counties
119685,ABG-926,20943,74,18432.735199913131510,USAWaterBodies_Projected_4counties
119686,ABH-926,20944,74,18075.750771409777371,USAWaterBodies_Projected_4counties
119687,ABI-926,20945,74,17767.943182882074325,USAWaterBodies_Projected_4counties
119688,ABJ-926,20946,74,17511.905777217114519,USAWaterBodies_Projected_4counties
119689,ABK-926,20947,74,17309.935960312930547,USAWaterBodies_Projected_4counties
119690,ABL-926,20948,74,17163.942494372884539,USAWaterBodies_Projected_4counties
119691,ABM-926,20949,74,17075.361224587424658,USAWaterBodies_Projected_4counties
119692,ABN-926,20950,74,17045.087267308088485,USAWaterBodies_Projected_4counties
119693,ABO-926,20951,74,17065.452297728246776,USAWaterBodies_Projected_4counties
119694,ABP-926,20952,74,17092.513596325254184,USAWaterBodies_Projected_4counties
119695,ABQ-926,20953,74,17008.307414653776505,USAWaterBodies_Projected_4counties
119696,ABR-926,20954,74,16884.999799907389388,USAWaterBodies_Projected_4counties
119697,ABS-926,20955,74,16701.017336466375127,USAWaterBodies_Projected_4counties
119698,ABT-926,20956,74,16505.008008635559236,USAWaterBodies_Projected_4counties
119699,ABU-926,20957,74,16354.779716190878389,USAWaterBodies_Projected_4counties
119700,ABV-926,20958,74,16264.757906748354799,USAWaterBodies_Projected_4counties
119701,ABW-926,20959,74,16235.944073725362614,USAWaterBodies_Projected_4counties
119702,ABX-926,20960,74,16268.663441264690846,USAWaterBodies_Projected_4counties
119703,ABY-926,20961,74,16362.546878928929800,USAWaterBodies_Projected_4counties
