"Response","R2_adj","Deviance_explained","n_obs"
"Night",0.550723484236703,0.553373074943575,4255
"Morning",0.429013474901943,0.43153959908486,4255
"Evening",0.65029290390641,0.651872059345282,4255
"Average",0.625672542368999,0.627573507070076,4255
