"Predictor","Night","Morning","Evening","Average"
"Tree_Canopy",1.19376652026695,2.4737565985691,0.709145999767391,0.445924936539923
"Impervious",5.54398565967974,3.45870703022383,3.90452431926647,4.33500512707706
"Bldg_Footprint",2.32280500426504,2.12221372718435,1.3009929487441,1.54844817101355
