"LCZ","Tree_Canopy_Effect","Impervious_Effect"
"LCZ D",-0.440646877904442,0.484311814055104
"LCZ C",0.902095240261247,0.157994398780943
"LCZ 5",0.293684846643032,1.09040448774738
"LCZ 9",0.305289746691017,1.8462283464043
"LCZ G",0.413710230882941,1.00072137207962
"LCZ F",-0.153131439258459,1.8632900377911
"LCZ 2",0.290439860007666,1.71936252029195
