"df","AIC","Model","delta_AIC"
31.0851480036501,53003.6983057485,"Full (Tree + Impervious + Bldg_Footprint + LCZ + Period)",0
13.1057000957447,75529.9073134853,"Surface only (no Bldg_Footprint)",22526.2090077368
10.3047221902728,76247.000296304,"No LCZ",23243.3019905555
