"LCZ","R2_adj","Deviance_explained","GCV_score","n_obs"
"LCZ D",0.848589089715213,0.848897106718353,9861.51880678278,5091
"LCZ C",0.879446021605835,0.879857472282231,7625.95988503436,3726
"LCZ 5",0.854192572585448,0.854898784332205,3976.34432480642,1989
"LCZ 9",0.882892505940456,0.884066366833299,1989.3576918685,1044
"LCZ G",0.574935449389277,0.584601162452731,943.275777610576,468
"LCZ F",0.772716729715029,0.780864201827229,387.894186459805,201
"LCZ 2",0.805772899938698,0.817993019296396,260.095533124498,120
