"Model","RMSE","R2_adj"
"Global (all LCZ)",1.9246808746225,0.848432103133194
"LCZ_LCZ D",1.67118200559274,0.848589089715213
"LCZ_LCZ C",1.85893282744691,0.879446021605835
"LCZ_LCZ 5",1.7683120988143,0.854192572585448
"LCZ_LCZ 9",1.5975359375171,0.882892505940456
"LCZ_LCZ G",1.7413179026103,0.574935449389277
"LCZ_LCZ F",1.59488229911599,0.772716729715029
"LCZ_LCZ 2",2.00268305932552,0.805772899938698
